symbol,timeframe,total_trades,winning_trades,losing_trades,win_rate,avg_win_pct,avg_loss_pct,total_pnl_pct,profit_factor,max_drawdown_pct
BERAUSDT,30m,1,1,0,1.0,0.49833887043189407,0.0,0.49833887043189407,inf,0.0
IOSTUSDT,1h,1,1,0,1.0,0.49751243781094656,0.0,0.49751243781094656,inf,0.0
POWRUSDT,25m,1,1,0,1.0,0.4939626783754106,0.0,0.4939626783754106,inf,0.0
PARTIUSDT,1h,2,2,0,1.0,0.24467229821541725,0.0,0.4893445964308345,inf,0.0
TAIKOUSDT,1h,2,2,0,1.0,0.2430157669128291,0.0,0.4860315338256582,inf,0.0
XMRUSDT,30m,1,1,0,1.0,0.48535835625301516,0.0,0.48535835625301516,inf,0.0
TWTUSDT,30m,1,1,0,1.0,0.48172503440891196,0.0,0.48172503440891196,inf,0.0
NFPUSDT,15m,1,1,0,1.0,0.4796768492804827,0.0,0.4796768492804827,inf,0.0
AUCTIONUSDT,15m,1,1,0,1.0,0.479299805501534,0.0,0.479299805501534,inf,0.0
KSMUSDT,1h,1,1,0,1.0,0.47837913891755146,0.0,0.47837913891755146,inf,0.0
LSKUSDT,45m,2,2,0,1.0,0.23873400711635714,0.0,0.4774680142327143,inf,0.0
UMAUSDT,30m,2,2,0,1.0,0.2370145198217522,0.0,0.4740290396435044,inf,0.0
USTCUSDT,1h,1,1,0,1.0,0.473911843194997,0.0,0.473911843194997,inf,0.0
LTCUSDT,25m,1,1,0,1.0,0.4735409020954168,0.0,0.4735409020954168,inf,0.0
MEUSDT,30m,1,1,0,1.0,0.47294324681038563,0.0,0.47294324681038563,inf,0.0
MEUSDT,1h,1,1,0,1.0,0.47294324681038563,0.0,0.47294324681038563,inf,0.0
PUFFERUSDT,15m,1,1,0,1.0,0.4710851202079249,0.0,0.4710851202079249,inf,0.0
MUBARAKUSDT,15m,1,1,0,1.0,0.47078371642205336,0.0,0.47078371642205336,inf,0.0
MILKUSDT,25m,2,2,0,1.0,0.2349200258414733,0.0,0.4698400516829466,inf,0.0
AINUSDT,1h,1,1,0,1.0,0.46732091594899006,0.0,0.46732091594899006,inf,0.0
GUNUSDT,25m,1,1,0,1.0,0.4657351962741225,0.0,0.4657351962741225,inf,0.0
CVXUSDT,25m,1,1,0,1.0,0.4653327128897165,0.0,0.4653327128897165,inf,0.0
GRIFFAINUSDT,1h,2,1,1,0.5,1.8764302059496596,-1.4125200642054556,0.463910141744204,1.3284272935302721,0.0
ETHUSDT,15m,3,2,1,0.6666666666666666,0.3341444825371604,-0.20761994016507268,0.4606690249092481,3.2188091593850925,0.0
CGPTUSDT,25m,1,1,0,1.0,0.45213939126599106,0.0,0.45213939126599106,inf,0.0
ZKCUSDT,15m,1,1,0,1.0,0.45112781954887116,0.0,0.45112781954887116,inf,0.0
AXSUSDT,15m,1,1,0,1.0,0.44733631557544207,0.0,0.44733631557544207,inf,0.0
MOODENGUSDT,15m,2,2,0,1.0,0.2229879543268874,0.0,0.4459759086537748,inf,0.0
STXUSDT,15m,1,1,0,1.0,0.44487194902008376,0.0,0.44487194902008376,inf,0.0
OPENUSDT,30m,1,1,0,1.0,0.4416488222698107,0.0,0.4416488222698107,inf,0.0
A2ZUSDT,25m,1,1,0,1.0,0.4406499586890651,0.0,0.4406499586890651,inf,0.0
SUSDT,45m,1,1,0,1.0,0.4389465283319992,0.0,0.4389465283319992,inf,0.0
OMUSDT,1h,1,1,0,1.0,0.4282784413077502,0.0,0.4282784413077502,inf,0.0
AIOUSDT,15m,1,1,0,1.0,0.42617120431690036,0.0,0.42617120431690036,inf,0.0
DOTUSDT,15m,1,1,0,1.0,0.4229142637447182,0.0,0.4229142637447182,inf,0.0
WUSDT,15m,2,2,0,1.0,0.21047523276349286,0.0,0.42095046552698573,inf,0.0
STOUSDT,25m,1,1,0,1.0,0.41998296572587807,0.0,0.41998296572587807,inf,0.0
VANAUSDT,30m,1,1,0,1.0,0.4192073170731754,0.0,0.4192073170731754,inf,0.0
GOATUSDT,30m,1,1,0,1.0,0.4174757281553396,0.0,0.4174757281553396,inf,0.0
AXLUSDT,30m,1,1,0,1.0,0.41469194312796576,0.0,0.41469194312796576,inf,0.0
AAVEUSDT,25m,1,1,0,1.0,0.4132856206844379,0.0,0.4132856206844379,inf,0.0
SOPHUSDT,30m,1,1,0,1.0,0.41287529562672437,0.0,0.41287529562672437,inf,0.0
MILKUSDT,30m,2,1,1,0.5,0.7005253940455359,-0.2880533656761609,0.412472028369375,2.4319292100655048,0.0
DMCUSDT,30m,2,1,1,0.5,0.543232231779089,-0.13398838767306676,0.4092438441060222,4.054323223177982,0.13398838767306676
BANANAUSDT,30m,2,2,0,1.0,0.20366122098137335,0.0,0.4073224419627467,inf,0.0
IOSTUSDT,30m,3,3,0,1.0,0.13432204776978413,0.0,0.4029661433093524,inf,0.0
LQTYUSDT,25m,1,1,0,1.0,0.399467376830901,0.0,0.399467376830901,inf,0.0
AUCTIONUSDT,1h,1,1,0,1.0,0.39940659591464267,0.0,0.39940659591464267,inf,0.0
BTCUSDT,25m,1,1,0,1.0,0.39788087663661126,0.0,0.39788087663661126,inf,0.0
ZRCUSDT,1h,1,1,0,1.0,0.3966286564204274,0.0,0.3966286564204274,inf,0.0
KNCUSDT,25m,1,1,0,1.0,0.39554117224019775,0.0,0.39554117224019775,inf,0.0
COMPUSDT,15m,1,1,0,1.0,0.3951367781154985,0.0,0.3951367781154985,inf,0.0
IPUSDT,30m,1,1,0,1.0,0.39026203307935153,0.0,0.39026203307935153,inf,0.0
MORPHOUSDT,1h,1,1,0,1.0,0.3883997928534413,0.0,0.3883997928534413,inf,0.0
BUSDT,1h,2,2,0,1.0,0.19198652525800525,0.0,0.3839730505160105,inf,0.0
GOATUSDT,1h,1,1,0,1.0,0.37996760931854956,0.0,0.37996760931854956,inf,0.0
RAYSOLUSDT,15m,1,1,0,1.0,0.37927634074186484,0.0,0.37927634074186484,inf,0.0
CFXUSDT,15m,1,1,0,1.0,0.37844554902847033,0.0,0.37844554902847033,inf,0.0
ONEUSDT,1h,1,1,0,1.0,0.3776435045317198,0.0,0.3776435045317198,inf,0.0
FILUSDT,1h,1,1,0,1.0,0.37735849056603804,0.0,0.37735849056603804,inf,0.0
MYXUSDT,30m,1,1,0,1.0,0.37658336186238006,0.0,0.37658336186238006,inf,0.0
KASUSDT,30m,1,1,0,1.0,0.37637521713954974,0.0,0.37637521713954974,inf,0.0
UMAUSDT,25m,1,1,0,1.0,0.36803364879074696,0.0,0.36803364879074696,inf,0.0
IOTXUSDT,15m,2,2,0,1.0,0.18073220396806094,0.0,0.3614644079361219,inf,0.0
POLYXUSDT,45m,1,1,0,1.0,0.35877768155387674,0.0,0.35877768155387674,inf,0.0
BICOUSDT,30m,1,1,0,1.0,0.35471930906846716,0.0,0.35471930906846716,inf,0.0
MANAUSDT,15m,1,1,0,1.0,0.35435861091424553,0.0,0.35435861091424553,inf,0.0
ZROUSDT,15m,2,2,0,1.0,0.1751856693205329,0.0,0.3503713386410658,inf,0.0
SXPUSDT,1h,1,1,0,1.0,0.3461918892185985,0.0,0.3461918892185985,inf,0.0
SXPUSDT,45m,1,1,0,1.0,0.3461918892185985,0.0,0.3461918892185985,inf,0.0
ZROUSDT,30m,2,1,1,0.5,0.4819926353920374,-0.13734658094681906,0.34464605444521834,3.5093165921521274,0.0
