symbol,timeframe,trade_id,signal_time,direction,pattern_group,entry1_price,entry1_filled,entry2_price,entry2_filled,exit_price,exit_time,exit_reason,pnl_pct,tp_price,sl_price
BANANAUSDT,1h,1,2025-10-08 02:00:00,Long,G1,17.827,True,18.091,True,17.671,2025-10-08 04:00:00,SL,-1.6036527646305685,18.329,17.671
BANANAUSDT,1h,2,2025-11-05 03:00:00,Long,G1,9.285,False,9.956,True,10.14,2025-11-05 17:00:00,TP,0.924065889915634,10.14,9.273
BANANAUSDT,25m,0,2025-11-04 22:15:00,Long,G1,9.314,True,9.813,True,9.285,2025-11-05 01:35:00,SL,-2.912113765880703,10.14,9.285
BANANAUSDT,45m,0,2025-11-05 03:00:00,Long,G1,9.285,False,9.956,True,10.14,2025-11-05 17:15:00,TP,0.924065889915634,10.14,9.273
BOMEUSDT,1h,0,2025-09-29 07:00:00,Short,G1,0.001647,False,0.001631,True,0.001623,2025-09-29 09:00:00,TP,0.2452483139178411,0.001623,0.001672
RECALLUSDT,30m,0,2025-10-25 23:00:00,Short,G1,0.40445,True,0.39654,True,0.42067,2025-10-26 02:00:00,SL,-5.0375160738586,0.38842,0.42067
FORTHUSDT,1h,0,2025-10-05 10:00:00,Short,G1,2.744,False,2.721,True,2.705,2025-10-05 11:00:00,TP,0.29400955531054784,2.705,2.757
FORTHUSDT,15m,0,2025-10-29 18:15:00,Short,G1,2.458,False,2.405,True,2.4,2025-10-29 18:30:00,TP,0.10395010395010175,2.4,2.485
LYNUSDT,15m,0,2025-11-01 07:15:00,Long,G1,0.11381,False,0.11566,True,0.11617,2025-11-01 07:30:00,TP,0.2204738025246397,0.11617,0.11337
CKBUSDT,15m,0,2025-10-28 08:30:00,Long,G3,0.003229,False,0.003258,True,0.003287,2025-10-28 11:15:00,TP,0.4450583179864939,0.003287,0.003222
CKBUSDT,15m,1,2025-11-04 10:45:00,Short,G1,0.00308,False,0.003049,True,0.003024,2025-11-04 11:30:00,TP,0.40997048212528453,0.003024,0.003098
ZORAUSDT,30m,0,2025-10-24 10:00:00,Short,G3,0.09466,True,0.0935,True,0.09548,2025-10-24 11:30:00,SL,-1.4880952380952364,0.09203,0.09548
